scenario,variant,iter,op,cycles,time_us,energy_uj,heap_free,heap_min,stack_hwm_bytes
s2,ML-KEM-512,61,keygen,1214629,7593,2113,348192,346636,22348
s2,ML-KEM-512,61,encaps,1427525,8926,2533,348192,346636,22348
s2,ML-KEM-512,61,decaps,1728208,10803,3131,348192,346636,22348
s2,ML-KEM-512,62,keygen,1208959,7558,1887,348192,346636,22348
s2,ML-KEM-512,62,encaps,1431149,8948,2567,348192,346636,22348
s2,ML-KEM-512,62,decaps,1724936,10782,3090,348192,346636,22348
s2,ML-KEM-512,63,keygen,1234323,7716,1938,348192,346636,22348
s2,ML-KEM-512,63,encaps,1448072,9054,2630,348192,346636,22348
s2,ML-KEM-512,63,decaps,1756824,10981,3093,348192,346636,22348
s2,ML-KEM-512,64,keygen,1207541,7550,1904,348192,346636,22348
s2,ML-KEM-512,64,encaps,1427454,8925,2568,348192,346636,22348
s2,ML-KEM-512,64,decaps,1727451,10797,3158,348192,346636,22348
s2,ML-KEM-512,65,keygen,1211089,7571,1949,348192,346636,22348
s2,ML-KEM-512,65,encaps,1429998,8941,2686,348192,346636,22348
s2,ML-KEM-512,65,decaps,1728674,10805,3262,348192,346636,22348
s2,ML-KEM-512,66,keygen,1213069,7584,2067,348192,346636,22348
s2,ML-KEM-512,66,encaps,1426139,8917,2468,348192,346636,22348
s2,ML-KEM-512,66,decaps,1720820,10756,2651,348192,346636,22348
s2,ML-KEM-512,67,keygen,1212479,7580,2114,348192,346636,22348
s2,ML-KEM-512,67,encaps,1426905,8922,2507,348192,346636,22348
s2,ML-KEM-512,67,decaps,1727816,10800,3060,348192,346636,22348
s2,ML-KEM-512,68,keygen,1207683,7550,1906,348192,346636,22348
s2,ML-KEM-512,68,encaps,1428775,8934,2513,348192,346636,22348
s2,ML-KEM-512,68,decaps,1727767,10799,3112,348192,346636,22348
s2,ML-KEM-512,69,keygen,1211293,7573,1948,348192,346636,22348
s2,ML-KEM-512,69,encaps,1429650,8939,2595,348192,346636,22348
s2,ML-KEM-512,69,decaps,1728014,10801,3259,348192,346636,22348
s2,ML-KEM-512,70,keygen,1213011,7583,2050,348192,346636,22348
s2,ML-KEM-512,70,encaps,1427827,8928,2352,348192,346636,22348
s2,ML-KEM-512,70,decaps,1722672,10768,2681,348192,346636,22348
s2,ML-KEM-512,71,keygen,1211297,7572,2031,348192,346636,22348
s2,ML-KEM-512,71,encaps,1426291,8918,2416,348192,346636,22348
s2,ML-KEM-512,71,decaps,1722242,10765,3066,348192,346636,22348
