scenario,variant,iter,keygen_cycles,decaps_cycles,keygen_us,decaps_us,handshake_us,net_latency_us,jitter_us,energy_uj,reconnect_us,reconnect_energy_uj,rssi_dbm,packet_loss,ss_dec_hex,pub_bytes,ct_bytes,overhead_bytes,heap_free,heap_min,stack_hwm_bytes,cpu_util_percent
s1,ML-KEM-512,56,1276583,2007008,7981,12545,53907,33288,1870,32664,0,0,-21,0,7a11cf34900ee6273247c239287469d6ed9f8135709ef8d66592ac09cfe90a7e,804,772,58,225004,220548,21860,38.08
s1,ML-KEM-512,57,1278722,1868010,7994,11676,59415,37011,3723,36145,0,0,-21,0,02592920ec4e8546feffc1f1b3ed303960a07fe22222c69c3497b2337e94022d,804,772,58,224988,220548,21860,33.11
s1,ML-KEM-512,58,1278075,2005160,7990,12533,51595,30989,6022,31307,0,0,-21,0,74097d36f5a4942b63ad21d5390f31fa25248ef446dacec15991b431c8a7550b,804,772,58,224988,220536,21860,39.78
s1,ML-KEM-512,59,1276846,2022149,7982,12639,59754,39047,8058,36211,0,0,-21,0,34754f75c1149d1003528187df85355eeb9dd3c982a25bfdf7494048da524c87,804,772,58,224988,220536,21860,34.51
s1,ML-KEM-512,60,1276622,1868829,7981,11682,54449,32152,6895,32666,0,0,-21,0,d68f4d6593edb1da6e9ea982444a1d011b860a07251750dc747a2258ca00d30e,804,772,58,224988,220512,21860,36.11
s1,ML-KEM-512,61,1301382,1868062,8136,11677,63772,41188,9036,38796,0,0,-21,0,86941ccc7d8a91ad22440893da6115501bd2f2c940d3ac8f4b10677eff261d65,804,772,58,224988,220512,21860,31.07
s1,ML-KEM-512,62,1280106,1868108,8002,11676,57724,35390,5798,34320,0,0,-21,0,281dc71e52d3bbe81a140b0244c5981906ec07e36a8060b77b50c2912f31e0be,804,772,58,224988,220512,21860,34.09
s1,ML-KEM-512,63,1299330,2038095,8123,12740,58872,37928,2538,35486,0,0,-21,0,a88110932ce57a128d572c87f33d9ce6e058ce4947c8bbfd15a4458f54b3860a,804,772,58,224988,220512,21860,35.44
s1,ML-KEM-512,64,1276148,2002987,7978,12520,58669,38092,164,35710,0,0,-21,0,0e9676b66ed3e9d13f5a00c4c1658c89a7ff49cdb99cdf848938f82d2517b7ea,804,772,58,224988,220512,21860,34.94
s1,ML-KEM-512,65,1274428,1866225,7967,11665,55802,33653,4439,33679,0,0,-21,0,be7b5216c42e9590e53e64373e098c7e57990ff9710184306df09f661b32c66b,804,772,58,224988,220512,21860,35.18
s1,ML-KEM-512,66,1298144,1995109,8115,12471,55064,34392,739,33386,0,0,-21,0,5af3edf7fe6c793e2e15b1715e37b15f3f1cf867a78979da8ed0e7c7dab9b9f0,804,772,58,224988,220512,21860,37.39
s1,ML-KEM-512,67,1276623,1889383,7981,11809,56758,34206,186,34587,0,0,-21,0,462a1926d7c2d2704d8c85b9d6820bab1ae3d327988556d9e72433518391e3b6,804,772,58,225000,220512,21860,34.87
s1,ML-KEM-512,68,1276564,1867829,7981,11675,52297,29985,4221,31459,0,0,-21,0,81608c1705cd154e3e9968c2279e05cfc55b0738ebfb0e312d3869f06485ccb7,804,772,58,225000,220512,21860,37.59
s1,ML-KEM-512,69,1277512,1874458,7987,11717,54841,32372,2387,33379,0,0,-21,0,2a69aff6924e95c39aa7dadcfaf2b37c828ea87c36c1515675941a256b4be500,804,772,58,225000,220512,21860,35.93
s1,ML-KEM-512,70,1275632,1992531,7975,12454,56659,36141,3769,34521,0,0,-21,0,c06f5a9f415313f02218c51f5a21dd1121519d1099e29b36c2074a454561feb6,804,772,58,225000,220512,21860,36.06
s1,ML-KEM-512,71,1276994,1898108,7983,11864,59791,37141,1000,36308,0,0,-21,0,d6b66ec5fac393921201b17e94fc7374978f59fa3dbc78a40e960f2031f89922,804,772,58,225000,220512,21860,33.19
s1,ML-KEM-512,72,1276960,2034973,7983,12720,56500,35709,1432,34089,0,0,-21,0,4e0bc716104071b47da1152c134db7a405c9a467e6794c6ffecf43b13b9668c3,804,772,58,225000,220512,21860,36.64
s1,ML-KEM-512,73,1277066,1902519,7984,11892,60804,38373,2664,37452,0,0,-21,0,22f59ea5fcef382a802870813b29f5ee6176a9cd81937eaba2baff292ab202ab,804,772,58,225004,220512,21860,32.69
s1,ML-KEM-512,74,1279048,1992327,7996,12453,56088,35553,2820,33960,0,0,-21,0,a0d2f8e35c1648958787564e84945077b4eb9b786c82a392dd3dc5c8cae850d4,804,772,58,224988,220512,21860,36.46
s1,ML-KEM-512,75,1276643,1887677,7981,11799,60237,37712,2159,36012,0,0,-21,0,14c931dcaea01e98a028f76f580fb1123876723a2561456b740954a3c2d9ac25,804,772,58,224988,220512,21860,32.84
s1,ML-KEM-512,76,1280734,1994671,8006,12468,55897,35338,2374,34606,0,0,-21,0,e8a524d397fd6cce1181e8079e261472dad3053541adfb2e9a4bca87572355d1,804,772,58,224988,220512,21860,36.63
s1,ML-KEM-512,77,1279878,1867375,8001,11673,56264,33874,1464,33520,0,0,-21,0,9f0b86dcf305c365cb4c9e19fcd171f29d84d6ec00b871ac30bb142d6a1bb9a2,804,772,58,224988,220512,21860,34.97
s1,ML-KEM-512,78,1279320,1867761,7997,11674,59373,37266,3392,36153,0,0,-21,0,1d677eb03d770ff466b5a5ea64f3a6a116b8b10fe52e90c10c2e7ae10ab8537d,804,772,58,224988,220512,21860,33.13
s1,ML-KEM-512,79,1276702,1875171,7981,11721,62165,39925,2659,37385,0,0,-21,0,21f642b0eaf938cbe0ec628f99202804964ea429936d5b891371add0e37b2f5e,804,772,58,224988,220512,21860,31.69
s1,ML-KEM-512,80,1277424,2013887,7985,12588,53142,32485,7440,32671,0,0,-21,0,49ba5824eeda588b78cf7bc8c82893e872b3b6e6889342e1bc638e29ddd2b3b4,804,772,58,224988,220512,21860,38.71
s1,ML-KEM-512,81,1276206,1864005,7978,11651,55281,32884,399,33656,0,0,-21,0,9e6515db515d3f54bc2539bf8116fe44c86dfd56708e7ea50736c61503a4ac8b,804,772,58,224988,220512,21860,35.51
s1,ML-KEM-512,82,1279528,2014717,7999,12593,53843,33166,282,33355,0,0,-21,0,6e350711a76a0b16e3ff6375f3140b585ea9edf8ee294c69708aae7635e9aa24,804,772,58,224988,220512,21860,38.24
s1,ML-KEM-512,83,1300070,1861662,8128,11637,60954,38528,5362,36954,0,0,-21,0,ecacdd460336edb9a25e28ef6f334b5882ac80ee21efc12e5cdaa8ad1d456f40,804,772,58,224988,220512,21860,32.43
s1,ML-KEM-512,84,1277058,2020307,7983,12628,57084,36385,2143,34837,0,0,-21,0,d8327724fba681e0189cae7ba2d0cd78ed88c744cf204f4b56ede09213456346,804,772,58,224988,220512,21860,36.11
s1,ML-KEM-512,85,1276142,1869855,7978,11687,55036,32734,3651,34264,0,0,-21,0,f13ddf70c74fbbc8015bed6a374f01dcc501799def20530b9113c555de2a7a82,804,772,58,224988,220512,21860,35.73
s1,ML-KEM-512,86,1279720,1991155,8000,12446,57762,37226,4492,35793,0,0,-21,0,a18e862a06c8cab441abd2ee84288bd5277c2b93fa37b8d5ab6889116ad29b8a,804,772,58,224988,220512,21860,35.40
s1,ML-KEM-512,87,1280854,2093587,8007,13087,60940,38731,1505,36746,0,0,-21,0,251482144934e067b61fec1b974b93c6252b0f182d291a86c92751f58b03131c,804,772,58,224988,220512,21860,34.61
s1,ML-KEM-512,88,1298584,2015959,8118,12601,55556,34753,3978,34290,0,0,-21,0,15346dd0e383f751b81d4bff16903834c2eb578c32179faa5e5a95e9d511356f,804,772,58,224988,220512,21860,37.29
s1,ML-KEM-512,89,1277470,1867358,7986,11672,62546,40178,5425,37556,0,0,-21,0,182508290636d2b380dd0a322d6285b0fadc3851eb562937673fe9514cef6ed0,804,772,58,224988,220512,21860,31.43
s1,ML-KEM-512,90,1279007,1869430,7995,11685,56881,34621,5557,33782,0,0,-21,0,36ad0b33ac40835ce20744f33f89bd87b458915be9df0fa938da130ea1a26844,804,772,58,224988,220512,21860,34.60
s1,ML-KEM-512,91,1281724,1866907,8013,11669,57565,35117,496,34618,0,0,-21,0,8cc61d867b0272c1f513d6cc9e792a6e8f90b91fae7cc6fbbcc0e432e9287917,804,772,58,224988,220512,21860,34.19
s1,ML-KEM-512,92,1280680,1868758,8006,11681,56986,34711,406,36021,0,0,-21,0,aab8afe5ea5c5dde3d446f462aeb968b407b3925a14b1b6b1b470679221ee71a,804,772,58,224988,220512,21860,34.55
s1,ML-KEM-512,93,1299052,1870776,8121,11694,62814,40216,5505,38591,0,0,-21,0,72b1935a47fa4f6490a7e4e4d0b2a9fac0fb3643654af0d93fcc3b0cc6d40605,804,772,58,224988,220512,21860,31.55
s1,ML-KEM-512,94,1275056,2088355,7971,13055,55047,33068,7148,33279,0,0,-21,0,377b25099fc79af372bb5594f3ce590416fc0d4b33634871bc0f181ebaea5e2c,804,772,58,224988,220512,21860,38.20
s1,ML-KEM-512,95,1274272,1864210,7966,11652,56697,34374,1306,34114,0,0,-21,0,08c9f172f30cf1920f22730fb1ed5c6456f478fd1c1767ab1b187ca113bdefba,804,772,58,224988,220512,21860,34.60
s1,ML-KEM-512,96,1277094,1865345,7984,11660,53285,30991,3383,31947,0,0,-21,0,b009b44789b9e14783ae0d7483a6a8c6dea147ad0f58d674f985deb4cdd2364c,804,772,58,224988,220512,21860,36.87
s1,ML-KEM-512,97,1280006,1870530,8002,11692,59137,36865,5874,35906,0,0,-21,0,899f0f4262589a75d1c9aed49fa713297ddde1189ebf286924f2e5552da74ae7,804,772,58,224988,220512,21860,33.30
s1,ML-KEM-512,98,1279280,2002107,7997,12514,56869,36278,587,34482,0,0,-21,0,7abf88ce707f85117fac2ce3d29944e1ee10b85e8af70dae347da931c40dba0a,804,772,58,224988,220512,21860,36.07
s1,ML-KEM-512,99,1276206,1900094,7979,11877,60916,38283,2005,37671,0,0,-21,0,694dde2de09de5a8e026fad78b34f3396f1220d235cee0434344effdc67fbf54,804,772,58,224988,220512,21860,32.60
